id	status	onde	texto	tipo	defeito	evidencia
ACS-GLB-01	confere	frontend/index.html:31-50	"Não foi possível abrir o atendimento" · "A página não carregou. Envie o texto abaixo para quem cuida do sistema." · (`<pre>` com a mensagem, a pilha e o navegador)	erro	Sem botão "Recarregar" (só F5); tela clara fora do tema (proposital)	caixa role=alert criada em :31-32; literais em :38 e :41 (fora de ±10 de :27); só h1, p e pre (:47-49), nenhum botão | coordenador: só formato — o local e o texto originais já valiam (intervalo inteiro conta; anotação/separador/parênteses normalizados); status rebaixado de corrigida para confere
ACS-GLB-02	confere	components/ErrorBoundary.jsx:139-154, :152	"Não foi possível abrir o atendimento" · "Tentar de novo" · "Copiar detalhes"	erro-com-retry	— (tela clara isolada, por design)	role=alert em :139; "Tentar de novo" em :149 recarrega (:126-132); "Copiar detalhes" (:152) ficava fora de ±10 do início da faixa — acrescentei :152 | coordenador: só formato — o local e o texto originais já valiam (intervalo inteiro conta; anotação/separador/parênteses normalizados); status rebaixado de corrigida para confere
ACS-GLB-05	corrigida	components/RotaLazy.jsx:61 (texto em components/ui/AsyncState.jsx:6)	(esqueleto de 4 linhas do AsyncState) · sr-only "Carregando…"	carregando	**Esqueleto invisível**: renderiza FORA de `.chat-theme`, sobre o `body` sem fundo (branco); as barras são `bg-white/[0.08]` (components/ui/AsyncState.jsx:8) → tela branca vazia antes do shell escuro (flash branco)	Shell (App.jsx:86-94) põe este RotaLazy fora do `.chat-theme` de components/AppShell.jsx:64; index.css não dá fundo ao body; sr-only "Carregando…" vem de AsyncState.jsx:6 (não estava anotado)
ACS-GLB-06	corrigida	components/RotaLazy.jsx:61 (texto em components/ui/AsyncState.jsx:6)	(esqueleto de 4 linhas no lugar do conteúdo; o menu fica) · sr-only "Carregando…"	carregando	(suspeita) em Configurações há um RotaLazy por nível (App.jsx:158, :197, :199, :201): na 1ª visita os esqueletos se sucedem — até 4 em Integrações › SGP (SettingsLayout → IntegrationsLayout → SgpIntegrationLayout → página)	fallback em :61; cada nível passa por lazyEl (App.jsx:67-73); "Carregando…" vem de AsyncState.jsx:6; "dois" era pouco
ACS-GLB-07	corrigida	components/RotaLazy.jsx:54 (texto em components/ui/AsyncState.jsx:25)	"Não foi possível carregar esta parte do sistema. Recarregue a página para tentar de novo." · "Tentar de novo"	erro-com-retry	`getDerivedStateFromError` pega QUALQUER erro de render: bug de página aparece como "não foi possível carregar"; o botão "Tentar de novo" recarrega a página inteira (perde rascunho/estado)	literal do erro em :56; "Tentar de novo" vem do AsyncState (:23-27); getDerivedStateFromError sem filtro (:33-35); o botão faz window.location.reload (:43-49)
ACS-GLB-09	corrigida	components/ProtectedRoute.jsx:12	(redireciona para /login)	variante	Rota de origem é perdida: o Navigate não leva `state` e, após entrar, vai sempre para "/" (pages/LoginPage.jsx:46)	Navigate sem state em :12; navigate("/") fixo em pages/LoginPage.jsx:46 — a ref :66 do defeito era velha (hoje é um fechamento de div)
ACS-GLB-12	errada-no-merito	pages/settings/SettingsIndex.jsx:9 (texto em pages/AccessDeniedPage.jsx:16)	"Sem acesso a {areaLabel}" (areaLabel "Configurações")	sem-permissão	— (inalcançável: a rota-mãe App.jsx:157 já barra quem não é admin/gerente, e para admin/gerente o 1º item, Números conectados, é sempre permitido — navigation/navItems.js:35, :108-115)	gatilho impossível: firstAllowedSettingsPath só devolve null sem item permitido; "canais" é nível admin (navigation/navItems.js:35) e o ProtectedRoute de App.jsx:157 corta antes; "Sem acesso a" está em pages/AccessDeniedPage.jsx:16
ACS-GLB-13	corrigida	components/ProtectedRoute.jsx:12	(cai no login limpo, sem mensagem)	variante	**Sessão expira em silêncio**: a frase "Sua sessão expirou. Entre de novo." existe (utils/errorMessages.js:20) mas nunca é mostrada nesse caminho; atendente perde o que digitava sem explicação	contexts/AuthContext.jsx:41 é o callback logout, não JSX; quem desenha é o Navigate de ProtectedRoute.jsx:12; o gatilho cita contexts/SocketContext.jsx:270-272, mas o arquivo tem 71 linhas — o logout do socket está em :40-41 (services/api.js:34-35 confere)
ACS-GLB-14	corrigida	utils/errorMessages.js:163, :147-156	(texto cru em inglês do servidor)	erro	Por design mostra o original em inglês — qualquer tela pode exibir texto técnico em inglês	o repasse do texto cru é a linha :163 (traduzir ou o próprio cru); :147-156 (traduzir) só devolve null; não há JSX único — vale para todo chamador de descreverErro
ACS-LOG-01	corrigida	pages/LoginPage.jsx:93-98	(barra pulsante de 11ch) · sr-only "Carregando o nome da empresa…"	carregando	—	linhas deslocadas: barra em :94, sr-only em :98 (a :113 de hoje é o erro)
ACS-LOG-02	corrigida	pages/LoginPage.jsx:96	"Atendimento"	variante	— (proposital: erro do nome é silencioso)	companyName ou "Atendimento" em :96 (a :116 era linha velha); status de erro do nome cai no mesmo ramo, sem aviso
ACS-LOG-04	corrigida	pages/LoginPage.jsx:106, :110	(balão nativo do navegador)	validação	Validação nativa: balão do sistema, fora do tema, texto do navegador	type="email" + required em :106 e required em :110; :126/:130 hoje são o rodapé
ACS-LOG-06	corrigida	pages/LoginPage.jsx:113 (texto em utils/errorMessages.js:15-16, utils/errorMessages.js:26, pages/LoginPage.jsx:48)	"E-mail ou senha incorretos." · "Esta conta está desativada. Procure um administrador." · "Muitas tentativas seguidas. Espere um pouco e tente de novo." · "Falha ao entrar"	erro	Falha de rede/CORS cai no genérico "Falha ao entrar" (parece credencial errada)	p role=alert em :113 (a :133 é o fim do JSX); 401/403/429 do backend (src/auth/auth.routes.js:19, :22; src/config/rate-limiters.js:19) traduzidos em errorMessages.js:15-16, :26; rede sem corpo cai no padrão de :48; "Muitas tentativas seguidas…" não era literal
ACS-LOG-07	corrigida	pages/LoginPage.jsx:60, :84	(some o painel com "Um lugar claro para cada conversa."; o ícone aparece no cartão)	responsivo	—	hidden lg:flex na section de :60 (literal em :69) e lg:hidden no ícone de :84; :80/:104 eram linhas velhas
ACS-LOG-08	confere	App.jsx:122	(formulário normal, sem redirecionar)	variante	(suspeita) não redireciona quem já tem sessão	Route /login sem guarda em :122; LoginPage só usa login do useAuth (pages/LoginPage.jsx:30) e nunca lê o token
CAS-SHL-05	confere	components/AppShell.jsx:92	(moldura com respiro × sangrada)	responsivo	—	p-0 md:p-3 em :92 (só tirei a nota de código do onde)
CAS-SHL-06	corrigida	components/AppShell.jsx:90-91, App.jsx:144	(brilhos de fundo mais fracos)	variante	—	:61 é a variável derivada glow; o desenho são os dois brilhos de :90-91; Shell dense em App.jsx:144
CAS-SHL-07	confere	components/AppShell.jsx:97, components/SideNav.jsx:115, components/side-nav.css:9	(gaveta 216px, véu `bg-black/50`; ESC/clique no véu fecham; foco preso)	interação:gaveta aberta	—	inert em :97; véu bg-black/50 que fecha no clique em SideNav.jsx:115; ESC em SideNav.jsx:91; Tab preso em SideNav.jsx:120; 216px em side-nav.css:9 (só normalizei o formato do onde)
CAS-SHL-08	confere	components/AppShell.jsx:113-115	(abre o ProfileModal)	interação:modal	—	profileOpen monta o ProfileModal em :113-115; o texto era descrição sem parênteses | coordenador: só formato — o local e o texto originais já valiam (intervalo inteiro conta; anotação/separador/parênteses normalizados); status rebaixado de corrigida para confere
CAS-NAV-01	corrigida	components/SideNav.jsx:121, components/side-nav.css:8	(só ícones × ícone+rótulo+grupos)	variante	—	:72-73 são chamadas de hook (useMatch/useNavCollapsed); o desenho é a classe is-compact em :121 e .worknav.is-compact em side-nav.css:8; defaultCollapsed=inChat em :73
CAS-NAV-02	corrigida	components/SideNav.jsx:63 (texto em navigation/navItems.js:22-26)	"Atendimento" · "Supervisão" · "Campanhas" · "Relatórios" · "Configurações" (tooltip nativo, title)	hover-revela	Rótulo só em tooltip nativo (não aparece no toque; inconsistente com a `DicaFlutuante` do rail de conversas)	title={item.label} em :63; rótulos vêm de NAV_ITEMS (navigation/navItems.js:22-26), fora de ±10; no rail o rótulo some (side-nav.css:8); components/DicaFlutuante.jsx existe
CAS-NAV-04	confere	components/SideNav.jsx:64	(item com realce cobre, `aria-current=page`)	seleção	—	aria-current em :64; realce em components/side-nav.css:5 ([aria-current=page])
CAS-NAV-05	corrigida	components/SideNav.jsx:127-137 (texto em components/SideNav.jsx:56-58)	"Trabalho" · "Acompanhamento" · "Administração" (grupo sem item some)	variante	—	:82 é a variável derivada items; o grupo some em :130 e o rótulo é desenhado em :136; nomes em GROUPS (:56-58)
CAS-NAV-07	corrigida	components/SideNav.jsx:30-53	(logo da instalação) · ({iniciais} + {companyName})	variante	— (nesta instalação só o logo aparece: branding/index.js:18-26 define as duas artes)	"DW" não é literal: as iniciais saem de iniciaisDaEmpresa (:16-22); ramo do logo em :34-41, do monograma em :46-52
CAS-NAV-08	corrigida	components/SideNav.jsx:49	(monograma vazio, sem indicador)	carregando	— (proposital; latente nesta instalação: branding/index.js:18-26 tem arte e o ramo do monograma, :44-52, não roda)	:46 é a variável derivada iniciais; o monograma vazio é o span de :49
CAS-NAV-09	corrigida	components/SideNav.jsx:49-50	(monograma vazio e rótulo vazio PERMANENTES)	erro	Topo do menu fica com uma pílula sem texto se o nome falhar; não há fallback visual (só o title diz "Atendimento", :31, :48) — latente nesta instalação: branding/index.js:18-26 tem arte e o ramo do monograma não roda	no erro iniciaisDaEmpresa recebe texto vazio e devolve vazio (:18) e o strong fica vazio (:50); :46 é variável derivada
CAS-NAV-15	confere	components/side-nav.css:9	(menu some; só abre como gaveta)	responsivo	—	@media(max-width:767px) com .worknav{display:none} e .is-mobile-open em side-nav.css:9 (caminho completado)
CAS-BAN-03	confere	components/ChannelStatusBanner.jsx:24	(uma linha por canal, sem limite)	variante	(suspeita) cresce sem teto	map sem limite em :24; o contêiner de :23 não tem max-height nem overflow
CAS-BAN-04	confere	components/ChannelStatusBanner.jsx:13	(nada)	sem-permissão	—	hasLevel integrations em :10 e return null em :13
CAS-BAN-05	confere	components/ChannelStatusBanner.jsx:20	(nada — a faixa some)	erro	Erro silencioso: parece "tudo conectado"	no erro o useAsyncResource não troca data, que segue [] (hooks/useChannels.js:10); :20 devolve null; o status do hook nem é lido (:11)
CAS-BAN-06	corrigida	components/ChannelStatusBanner.jsx:23	(a faixa não muda)	tempo-real	Não se atualiza sozinha: fica velha até remontar a mesa	:11 é a chamada do hook; a faixa é o div de :23; hooks/useChannels.js:5-12 não ouve socket e ninguém chama refresh
CVM-ENC-02	confere	components/ClosedConversationsModal.jsx:13	"{n}" · "{n}+" (some com 0)	variante	—	a 13 imprime {items.length}{hasMore ? '+' : ''} dentro de items.length > 0 &&; "N" e "N+" não são literais do código | coordenador: só formato — o local e o texto originais já valiam (intervalo inteiro conta; anotação/separador/parênteses normalizados); status rebaixado de corrigida para confere
CVM-ENC-04	confere	components/ClosedConversationsList.jsx:11	(esqueleto)	carregando	—	AsyncState na 11 com o status do hook, que nasce 'loading' (hooks/useMyClosedConversations.js:12); esqueleto em components/ui/AsyncState.jsx:3-12
CVM-ENC-08	corrigida	components/ConversationListItem.jsx:206-208, components/ClosedConversationsList.jsx:19	(cartão com fundo mais claro; aria-current)	seleção	— (só se vê atrás do ConversationModal, que abre no mesmo clique; fechar o modal desfaz a seleção, components/ClosedConversationsModal.jsx:29)	a 19 só repassa selected; quem desenha é a variante padrão (ConversationListItem.jsx:206 aria-current, :208 bg-white/[0.08]); o mesmo clique monta o ConversationModal (ClosedConversationsModal.jsx:26-32)
CVM-ENC-11	corrigida	components/ClosedConversationsList.jsx:24-33	AUSENTE	erro	o catch engole: o botão volta a "Carregar mais" sem aviso	o catch de hooks/useMyClosedConversations.js:40-42 só faz setLoading(false); o botão (24-33) volta a 'Carregar mais' (:31) com hasMore intacto; busquei error/role=alert/Não foi possível no ClosedConversationsList e no hook: nada
CVM-ENC-12	corrigida	components/ClosedConversationsList.jsx:13	(grade de 1 coluna; 2 a partir de sm, 3 de lg, 4 de xl)	responsivo	—	grid-cols-1 sm:grid-cols-2 lg:grid-cols-3 xl:grid-cols-4 na 13; o texto era '—', não uma descrição
CVM-ENC-13	confere	components/ClosedConversationsModal.jsx:26-32	(ConversationModal por cima do popup)	interação:modal aberto	—	{selectedConversation && <ConversationModal …>} nas 26-32; o texto estava sem aspas nem parênteses | coordenador: só formato — o local e o texto originais já valiam (intervalo inteiro conta; anotação/separador/parênteses normalizados); status rebaixado de corrigida para confere
ATD-MESA-01	corrigida	pages/DashboardPage.jsx:296-310	(ilustração) · "Selecione uma conversa na lista ao lado para ler o histórico e responder ao cliente." · "Todo atendimento fica registrado no sistema."	vazio	—	bloco vazio nas 296-310; literais na 304 e na 308 (a 308 ficava fora de ±10 da 296)
ATD-MESA-02	confere	pages/DashboardPage.jsx:301	(título do painel vazio fica em branco)	carregando	—	a 301 imprime '' enquanto companyNameStatus === 'loading'; o <p> da 300 continua ocupando a linha
