id	status	veredito	nota
ACS-GLB-12	errada-no-merito	certo	conferido contra e5236da
ATD-ITEM-04	errada-no-merito	certo	conferido contra e5236da
ATD-ITP-07	errada-no-merito	certo	conferido contra e5236da
MSG-CMP-07	errada-no-merito	certo	conferido contra e5236da
MSG-CMP-23	errada-no-merito	certo	conferido contra e5236da
MSG-RR-06	errada-no-merito	certo	conferido contra e5236da
CV-IA-15	errada-no-merito	certo	conferido contra e5236da
CV-SGP-20	errada-no-merito	certo	conferido contra e5236da
ATD-TRF-23	errada-no-merito	certo	conferido contra e5236da
ATD-ENC-15	errada-no-merito	certo	conferido contra e5236da
ATD-INI-24	errada-no-merito	erro	a suspeita de frase crua tem caminho real: corrida da lista de templates na troca de canal (novo ATD-INI-29)
REL-PG-22	errada-no-merito	certo	conferido contra e5236da
REL-PG-28	errada-no-merito	certo	conferido contra e5236da
CAM-DET-13	errada-no-merito	certo	conferido contra e5236da
CAM-NOV-12	errada-no-merito	certo	conferido contra e5236da
CFG-AUT-IA-23	errada-no-merito	certo	conferido contra e5236da
CFG-MSG-TPL-30	errada-no-merito	certo	conferido contra e5236da
PRF-12	errada-no-merito	certo	conferido contra e5236da
CV-TL-10	corrigida	certo	conferido contra e5236da
CFG-EMP-13	corrigida	certo	conferido contra e5236da
CFG-CON-16	corrigida	certo	conferido contra e5236da
CAM-LST-19	corrigida	certo	conferido contra e5236da
CFG-CAD-CID-19	corrigida	certo	conferido contra e5236da
CFG-CON-01	corrigida	certo	conferido contra e5236da
CVM-MOD-02	corrigida	certo	conferido contra e5236da
PRM-BTN-02	corrigida	certo	conferido contra e5236da
MSG-PRV-13	corrigida	certo	conferido contra e5236da
MSG-CMP-24	corrigida	certo	conferido contra e5236da
CFG-CON-13	corrigida	certo	conferido contra e5236da
CFG-MSG-AC-10	corrigida	certo	conferido contra e5236da
PRF-03	corrigida	certo	conferido contra e5236da
CFG-CON-11	corrigida	certo	conferido contra e5236da
CVM-ENC-11	corrigida	certo	conferido contra e5236da
CFG-NAV-12	corrigida	certo	conferido contra e5236da
ATD-RT-05	corrigida	certo	conferido contra e5236da
PRM-ALR-01	corrigida	certo	conferido contra e5236da
CV-TPL-13	corrigida	certo	conferido contra e5236da
CFG-ATE-15	corrigida	certo	conferido contra e5236da
CV-PNL-01	corrigida	certo	conferido contra e5236da
CV-CAB-04	corrigida	certo	conferido contra e5236da
CFG-CAD-CIDF-14	corrigida	certo	conferido contra e5236da
CFG-MSG-BV-18	corrigida	certo	conferido contra e5236da
SUP-OPR-10	corrigida	certo	conferido contra e5236da
ATD-ENC-07	confere	certo	conferido contra e5236da
CFG-AUT-MENU-32	confere	certo	conferido contra e5236da
CFG-CAD-PLA-10	confere	certo	conferido contra e5236da
CAS-BAN-05	confere	certo	conferido contra e5236da
CV-ROD-06	confere	certo	conferido contra e5236da
CFG-INT-SGPC-02	confere	certo	conferido contra e5236da
CFG-CON-10	confere	certo	conferido contra e5236da
ATD-EQM-03	confere	certo	conferido contra e5236da
CV-SGP-28	confere	certo	conferido contra e5236da
CFG-NAV-05	confere	certo	conferido contra e5236da
MSG-TOK-01	duplicata	certo	conferido contra e5236da
CFG-HOR-02	duplicata	certo	conferido contra e5236da
CFG-IDX-02	duplicata	certo	conferido contra e5236da
CFG-AUT-IA-01	duplicata	certo	conferido contra e5236da
CFG-CAD-LAY-01	duplicata	certo	conferido contra e5236da
